REGIAO:;SE;;;
UF:;SP;;;
ESTACAO:;SAO PAULO - INTERLAGOS;;;
CODIGO (WMO):;A771;;;
LATITUDE:;-2,372,444,443;;;
LONGITUDE:;-4,667,749,999;;;
ALTITUDE:;771;;;
DATA DE FUNDACAO:;14/03/2018;;;
Data;Hora UTC;Precipitacao;Temperatura;Umidade
13/01/2026;1300 UTC;,4;21,2;88
13/01/2026;1400 UTC;0;21,9;83
13/01/2026;1500 UTC;0;24,1;70
13/01/2026;1600 UTC;0;26,6;61
13/01/2026;1700 UTC;,2;29,6;51
13/01/2026;1800 UTC;0;31;45
13/01/2026;1900 UTC;0;30,9;41
13/01/2026;2000 UTC;0;29,9;47
13/01/2026;2100 UTC;0;23,6;85
13/01/2026;2200 UTC;0;22,7;88
13/01/2026;2300 UTC;0;22,7;87
14/01/2026;0000 UTC;0;20,5;81
14/01/2026;0100 UTC;0;20,8;87
14/01/2026;0200 UTC;,6;20,2;90
14/01/2026;0300 UTC;0;20;91
14/01/2026;0400 UTC;0;20,5;86
14/01/2026;0500 UTC;0;20,2;87
14/01/2026;0600 UTC;0;19,4;89
14/01/2026;0700 UTC;0;19;92
14/01/2026;0800 UTC;0;18,9;93
14/01/2026;0900 UTC;0;19,5;93
14/01/2026;1000 UTC;0;21,6;80
14/01/2026;1100 UTC;0;23;72
14/01/2026;1200 UTC;0;25,2;62
14/01/2026;1300 UTC;0;27,3;57
14/01/2026;1400 UTC;,2;28,9;51
14/01/2026;1500 UTC;0;29,1;50
14/01/2026;1600 UTC;0;29,6;47
14/01/2026;1700 UTC;0;26,1;69
14/01/2026;1800 UTC;0;23,2;82
14/01/2026;1900 UTC;0;22,6;84
14/01/2026;2000 UTC;0;21,3;87
14/01/2026;2100 UTC;1,4;20,9;94
14/01/2026;2200 UTC;1,4;21,4;95
14/01/2026;2300 UTC;3,2;20,6;92
15/01/2026;0000 UTC;,6;20,4;94
15/01/2026;0100 UTC;,2;20,4;91
15/01/2026;0200 UTC;0;20,8;89
15/01/2026;0300 UTC;0;20,8;87
15/01/2026;0400 UTC;0;20,5;87
15/01/2026;0500 UTC;0;20,4;87
15/01/2026;0600 UTC;0;19,9;90
15/01/2026;0700 UTC;0;19,6;92
15/01/2026;0800 UTC;0;19,5;92
15/01/2026;0900 UTC;0;19,5;93
15/01/2026;1000 UTC;0;21,4;85
15/01/2026;1100 UTC;0;23;74
15/01/2026;1200 UTC;0;25,7;67
15/01/2026;1300 UTC;0;25,9;62
15/01/2026;1400 UTC;0;27,4;59
15/01/2026;1500 UTC;0;27,4;60
15/01/2026;1600 UTC;0;27,8;56
15/01/2026;1700 UTC;0;29,6;49
15/01/2026;1800 UTC;0;29,9;47
15/01/2026;1900 UTC;12,4;20,2;93
15/01/2026;2000 UTC;15,6;20,2;94
15/01/2026;2100 UTC;25,2;19,5;97
15/01/2026;2200 UTC;3,6;19,8;96
15/01/2026;2300 UTC;4,6;20,2;96
16/01/2026;0000 UTC;4,2;19,8;96
16/01/2026;0100 UTC;2,6;19,7;94
16/01/2026;0200 UTC;,4;19,4;95
16/01/2026;0300 UTC;0;19,6;95
16/01/2026;0400 UTC;0;19,5;95
16/01/2026;0500 UTC;,2;19,3;96
16/01/2026;0600 UTC;0;19,3;97
16/01/2026;0700 UTC;0;18,8;96
16/01/2026;0800 UTC;0;18,9;97
16/01/2026;0900 UTC;0;18,7;97
16/01/2026;1000 UTC;0;19,9;97
16/01/2026;1100 UTC;0;22,2;81
16/01/2026;1200 UTC;0;23,1;76
16/01/2026;1300 UTC;0;24,9;70
16/01/2026;1400 UTC;0;27,6;59
16/01/2026;1500 UTC;0;28,2;53
16/01/2026;1600 UTC;0;28,3;56
16/01/2026;1700 UTC;0;28,6;54
16/01/2026;1800 UTC;0;26;67
16/01/2026;1900 UTC;2,6;22,9;86
16/01/2026;2000 UTC;,4;22,1;89
16/01/2026;2100 UTC;12,4;20,4;95
16/01/2026;2200 UTC;6,4;20,2;96
16/01/2026;2300 UTC;1,4;20;97
17/01/2026;0000 UTC;,2;20;97
17/01/2026;0100 UTC;,2;20,6;95
17/01/2026;0200 UTC;0;20,4;95
17/01/2026;0300 UTC;0;20,2;95
17/01/2026;0400 UTC;,6;19,7;96
17/01/2026;0500 UTC;0;19,7;96
17/01/2026;0600 UTC;0;19,5;96
17/01/2026;0700 UTC;0;19,5;96
17/01/2026;0800 UTC;0;19,3;96
17/01/2026;0900 UTC;0;19,1;97
17/01/2026;1000 UTC;0;20,4;95
17/01/2026;1100 UTC;0;23,1;75
17/01/2026;1200 UTC;0;25,1;69
17/01/2026;1300 UTC;0;25;66
17/01/2026;1400 UTC;,2;26,1;65
17/01/2026;1500 UTC;0;26,6;63
17/01/2026;1600 UTC;0;27,6;58
17/01/2026;1700 UTC;0;28;59
17/01/2026;1800 UTC;0;27,8;58
17/01/2026;1900 UTC;0;27,9;58
17/01/2026;2000 UTC;0;23,8;84
17/01/2026;2100 UTC;6,8;22,2;94
17/01/2026;2200 UTC;4,4;20;92
17/01/2026;2300 UTC;5;20,4;95
18/01/2026;0000 UTC;1,2;20,2;96
18/01/2026;0100 UTC;0;20,4;96
18/01/2026;0200 UTC;0;21,2;96
18/01/2026;0300 UTC;0;20,7;91
18/01/2026;0400 UTC;1,2;20,1;94
18/01/2026;0500 UTC;,8;20,1;95
18/01/2026;0600 UTC;0;20;95
18/01/2026;0700 UTC;0;20;96
18/01/2026;0800 UTC;0;19,9;94
18/01/2026;0900 UTC;0;19,7;95
18/01/2026;1000 UTC;0;21;88
18/01/2026;1100 UTC;0;23;81
18/01/2026;1200 UTC;0;24,4;76
18/01/2026;1300 UTC;0;26,2;67
18/01/2026;1400 UTC;0;26,1;69
18/01/2026;1500 UTC;,2;26,3;65
18/01/2026;1600 UTC;0;27,7;62
18/01/2026;1700 UTC;0;27,5;63
18/01/2026;1800 UTC;0;26,1;67
18/01/2026;1900 UTC;0;25,3;73
18/01/2026;2000 UTC;0;23,6;83
18/01/2026;2100 UTC;0;22,8;91
18/01/2026;2200 UTC;0;22,2;91
18/01/2026;2300 UTC;0;22;93
19/01/2026;0000 UTC;0;21,8;92
19/01/2026;0100 UTC;0;21,7;90
19/01/2026;0200 UTC;0;22,3;85
19/01/2026;0300 UTC;0;22,1;86
19/01/2026;0400 UTC;0;22;89
19/01/2026;0500 UTC;5,4;20,1;95
19/01/2026;0600 UTC;1,2;20;96
19/01/2026;0700 UTC;,6;19,6;96
19/01/2026;0800 UTC;0;19,7;95
19/01/2026;0900 UTC;0;20,1;91
19/01/2026;1000 UTC;0;20,6;89
19/01/2026;1100 UTC;0;21,2;86
19/01/2026;1200 UTC;0;21,3;86
19/01/2026;1300 UTC;0;22,7;81
19/01/2026;1400 UTC;0;22,7;82
19/01/2026;1500 UTC;2,2;21,4;93
19/01/2026;1600 UTC;3,4;20,7;93
19/01/2026;1700 UTC;1,2;21,3;89
19/01/2026;1800 UTC;1;20,8;93
19/01/2026;1900 UTC;,4;19,8;93
19/01/2026;2000 UTC;,6;19,7;93
19/01/2026;2100 UTC;2,4;18,9;94
19/01/2026;2200 UTC;5;18,1;94
19/01/2026;2300 UTC;,8;18,4;90
20/01/2026;0000 UTC;,2;18,2;87
20/01/2026;0100 UTC;,2;17,7;92
20/01/2026;0200 UTC;0;17,6;89
